Data;Volume Útil Armazenado (%);Vazão Jusante (m³/s);Vazão Natural (m³/s)
21/04/2004;18,97051;1,31;61,291
22/04/2004;19,24259;1,31;53,904
23/04/2004;19,32079;1,31;39,214
24/04/2004;19,29673;1,31;31,406
25/04/2004;19,30062;1,31;32,187
26/04/2004;19,19073;1,31;20,479
27/04/2004;19,20161;1,31;33,281
28/04/2004;19,16486;1,31;29,212
29/04/2004;19,06082;1,31;23,148
30/04/2004;18,95802;1,3;23,492
01/05/2004;18,85378;1,3;24,105
02/05/2004;18,72167;1,29;19,59
03/05/2004;18,60212;1,29;20,0
04/05/2004;18,45214;1,29;19,705
05/05/2004;18,37038;2,19;26,389
06/05/2004;18,35563;2,1;32,178
07/05/2004;18,45443;2,3;41,167
08/05/2004;18,71222;1,45;54,756
09/05/2004;18,83219;1,31;41,519
10/05/2004;18,89842;1,31;35,629
11/05/2004;18,84222;1,31;27,035
12/05/2004;18,76378;1,3;25,447
13/05/2004;18,63002;1,3;19,846
14/05/2004;18,48128;1,3;18,593
15/05/2004;18,41407;1,3;26,089
16/05/2004;18,58865;1,31;45,672
17/05/2004;18,64239;1,31;35,826
18/05/2004;18,65788;1,31;35,382
19/05/2004;18,67731;1,31;33,235
20/05/2004;18,59059;1,31;23,246
21/05/2004;18,50246;1,83;22,756
22/05/2004;18,57199;2,31;38,228
23/05/2004;18,60692;2,31;33,378
24/05/2004;18,63005;2,31;31,298
25/05/2004;18,7335;1,86;41,306
26/05/2004;19,17454;1,35;70,271
27/05/2004;19,64435;1,11;71,396
28/05/2004;19,88198;1,11;52,561
29/05/2004;19,89884;1,12;32,176
30/05/2004;19,90692;1,12;29,864
31/05/2004;20,08403;1,12;43,876
01/06/2004;20,51287;1,12;67,795
02/06/2004;20,81777;1,12;58,224
03/06/2004;21,1445;1,13;57,653
04/06/2004;21,91175;1,13;97,158
05/06/2004;22,59975;1,13;91,063
06/06/2004;22,94954;1,13;60,762
07/06/2004;23,15841;1,13;47,694
08/06/2004;23,28515;1,13;41,563
09/06/2004;23,38107;1,13;37,458
10/06/2004;23,40699;1,13;30,456
11/06/2004;23,39953;1,12;28,88
12/06/2004;23,45325;1,12;35,313
13/06/2004;23,7624;1,12;55,488
14/06/2004;23,90602;1,12;39,412
15/06/2004;23,96147;1,12;34,817
16/06/2004;24,00813;1,11;34,08
17/06/2004;24,03431;1,11;33,365
18/06/2004;24,06305;1,1;33,844
19/06/2004;24,06564;1,11;32,044
20/06/2004;24,06501;1,11;29,215
21/06/2004;24,06723;1,11;26,834
22/06/2004;24,01064;1,11;25,653
23/06/2004;23,95141;1,29;24,337
24/06/2004;23,88243;1,31;23,435
25/06/2004;23,87569;1,31;29,5
26/06/2004;23,83786;1,31;28,557
27/06/2004;23,84357;1,31;29,884
28/06/2004;23,76891;1,31;21,434
29/06/2004;23,72086;1,31;26,653
30/06/2004;23,68911;1,31;28,279
01/07/2004;23,63215;1,31;25,104
02/07/2004;23,51749;1,31;19,958
03/07/2004;23,40894;1,31;20,535
04/07/2004;23,30883;1,31;20,913
05/07/2004;23,28992;1,31;25,956
06/07/2004;23,22515;1,31;24,528
07/07/2004;23,1105;1,31;17,951
08/07/2004;22,99392;1,31;19,109
09/07/2004;22,9756;1,31;27,093
10/07/2004;22,99567;1,31;28,569
11/07/2004;23,30341;1,31;53,456
12/07/2004;23,54775;1,16;46,627
13/07/2004;23,55532;1,12;31,275
14/07/2004;23,53158;1,12;28,462
15/07/2004;23,39763;1,12;18,96
16/07/2004;23,29171;1,12;21,496
17/07/2004;23,31074;1,12;31,939
18/07/2004;23,3746;1,12;20,916
19/07/2004;23,36997;1,11;27,637
20/07/2004;24,28638;1,12;106,187
21/07/2004;24,87705;1,12;80,63
22/07/2004;25,20484;1,12;57,311
23/07/2004;25,32003;1,12;37,14
24/07/2004;25,38574;1,13;34,285
25/07/2004;25,40293;1,12;28,592
26/07/2004;25,43476;1,12;28,341
27/07/2004;25,3693;1,12;23,008
28/07/2004;25,31664;1,11;22,421
29/07/2004;25,31553;1,11;29,863
30/07/2004;25,23826;1,11;21,495
31/07/2004;25,19394;1,11;26,198
01/08/2004;25,11436;1,11;22,148
02/08/2004;25,07888;1,11;22,86
03/08/2004;24,96946;1,11;20,332
04/08/2004;24,8883;1,56;21,66
05/08/2004;24,83319;1,62;25,736
06/08/2004;24,73586;1,62;22,177
07/08/2004;24,58821;1,04;17,734
08/08/2004;24,47933;2,11;21,876
09/08/2004;24,42794;2,1;22,524
10/08/2004;24,29222;2,1;19,615
11/08/2004;24,15621;2,1;19,088
12/08/2004;24,0149;2,1;19,016
13/08/2004;23,84857;2,1;16,808
14/08/2004;23,68144;2,73;17,53
15/08/2004;23,59447;3,1;22,546
16/08/2004;23,3953;3,1;11,385
17/08/2004;23,24303;3,1;18,955
18/08/2004;23,09434;3,5;18,771
19/08/2004;22,97987;3,74;22,169
20/08/2004;22,81733;4,13;18,854
21/08/2004;22,63238;4,13;18,897
22/08/2004;22,48832;4,0;21,144
23/08/2004;22,3684;4,0;18,451
24/08/2004;22,19741;4,0;19,061
25/08/2004;22,0825;4,01;20,513
26/08/2004;21,90072;4,01;17,114
27/08/2004;21,71333;4,01;15,028
28/08/2004;21,55689;4,01;18,235
29/08/2004;21,43543;4,01;19,242
30/08/2004;21,26134;4,01;15,298
31/08/2004;21,07514;4,01;17,259
01/09/2004;37,65893;4,42;16,471
02/09/2004;37,45079;5,61;11,318
03/09/2004;37,28263;5,61;18,083
04/09/2004;37,09261;5,61;14,773
05/09/2004;36,92036;5,61;15,204
06/09/2004;36,75175;5,62;14,638
07/09/2004;36,55745;5,62;14,266
08/09/2004;36,41248;5,61;19,285
09/09/2004;36,20843;5,61;14,503
10/09/2004;35,99935;5,62;14,892
11/09/2004;35,73605;5,63;9,752
12/09/2004;35,51569;5,63;13,092
13/09/2004;35,34383;5,63;15,234
14/09/2004;35,12572;5,63;13,517
15/09/2004;34,95883;5,62;19,081
16/09/2004;34,72554;5,62;12,117
17/09/2004;34,48929;5,61;11,244
18/09/2004;34,29881;5,61;15,712
19/09/2004;34,34624;5,62;41,92
20/09/2004;34,23963;5,62;25,007
21/09/2004;34,04217;5,64;15,84
22/09/2004;33,82929;5,64;14,35
23/09/2004;33,62827;5,64;15,836
24/09/2004;33,45149;5,65;17,915
25/09/2004;33,21388;5,68;11,105
26/09/2004;32,99687;5,7;11,685
27/09/2004;32,85871;5,71;20,371
28/09/2004;32,67881;5,73;17,308
29/09/2004;32,43931;5,74;11,258
30/09/2004;32,20567;5,73;10,726
01/10/2004;32,1058;5,7;27,035
02/10/2004;31,82927;5,74;5,537
03/10/2004;31,64076;6,1;15,328
04/10/2004;31,63646;6,09;36,07
05/10/2004;31,49708;6,12;23,907
06/10/2004;31,34029;6,12;20,67
07/10/2004;31,16419;6,06;17,373
08/10/2004;30,98042;6,11;16,007
09/10/2004;30,75986;6,1;12,809
10/10/2004;30,55972;6,08;13,437
11/10/2004;30,47142;6,12;23,97
12/10/2004;30,39356;6,12;27,089
13/10/2004;30,26369;6,14;21,448
14/10/2004;30,29542;6,14;41,484
15/10/2004;30,26142;4,28;32,004
16/10/2004;30,30984;3,9;40,085
17/10/2004;30,17645;3,91;19,94
18/10/2004;30,39173;3,92;56,473
19/10/2004;30,32166;3,92;27,747
20/10/2004;30,46622;3,53;50,794
21/10/2004;30,33967;3,43;19,679
22/10/2004;30,26777;3,43;25,257
23/10/2004;30,15176;3,42;23,168
24/10/2004;30,06052;3,41;24,831
25/10/2004;29,99715;3,41;24,93
26/10/2004;30,30469;3,41;68,644
27/10/2004;30,31439;3,43;34,768
28/10/2004;30,19963;3,43;21,758
29/10/2004;30,07399;3,43;19,668
30/10/2004;29,94793;3,42;22,225
31/10/2004;29,79104;3,42;18,97
01/11/2004;29,68064;3,32;21,673
02/11/2004;29,51107;3,0;15,451
03/11/2004;29,36477;2,99;17,641
04/11/2004;29,21066;3,81;20,644
05/11/2004;29,10095;4,4;23,599
06/11/2004;29,03093;4,4;29,267
07/11/2004;29,10393;4,4;43,562
08/11/2004;29,21664;4,4;45,905
09/11/2004;29,2809;4,39;43,318
10/11/2004;29,23381;4,39;30,834
11/11/2004;29,09159;4,39;21,082
12/11/2004;28,93358;4,38;17,304
13/11/2004;28,78056;4,37;18,944
14/11/2004;28,61884;4,37;16,303
15/11/2004;28,48127;4,36;16,713
16/11/2004;28,51912;4,35;37,251
17/11/2004;28,99139;3,2;85,606
18/11/2004;29,36919;2,9;76,678
19/11/2004;29,54298;2,9;54,617
20/11/2004;29,68871;2,9;50,921
21/11/2004;29,73705;2,91;39,539
22/11/2004;29,66254;2,91;24,08
23/11/2004;29,53657;2,9;20,439
24/11/2004;29,41991;2,9;21,983
25/11/2004;29,28042;2,9;19,108
26/11/2004;29,09669;2,9;15,425
27/11/2004;28,9297;4,13;18,674
28/11/2004;28,86485;4,36;29,314
29/11/2004;29,17238;3,87;68,141
30/11/2004;29,34011;2,41;53,922
01/12/2004;29,31471;2,41;31,784
02/12/2004;29,21231;2,4;22,615
03/12/2004;29,11385;2,4;23,511
04/12/2004;29,14742;2,4;38,082
05/12/2004;29,08139;2,4;25,914
06/12/2004;29,07595;2,6;31,549
07/12/2004;29,17789;2,9;45,88
08/12/2004;29,43057;2,9;62,956
09/12/2004;29,74598;2,9;70,39
10/12/2004;29,95472;2,9;57,26
11/12/2004;29,99673;2,9;37,747
12/12/2004;30,00471;2,9;33,31
13/12/2004;30,02315;2,9;33,797
14/12/2004;29,93805;2,89;24,856
15/12/2004;29,84161;2,89;24,447
16/12/2004;29,75293;2,9;25,029
17/12/2004;29,68176;2,89;27,534
18/12/2004;29,62769;2,89;28,639
19/12/2004;29,69037;2,89;39,288
20/12/2004;29,66071;2,91;29,217
21/12/2004;29,67988;2,91;37,542
22/12/2004;29,73171;2,91;38,343
23/12/2004;29,83351;2,91;44,159
24/12/2004;29,85407;2,92;35,862
25/12/2004;29,87223;2,92;32,973
26/12/2004;29,88768;2,92;33,366
27/12/2004;30,58282;2,93;109,235
28/12/2004;30,82709;2,93;63,377
29/12/2004;30,89038;2,93;41,802
30/12/2004;30,86274;2,9;30,951
31/12/2004;30,79925;2,9;26,867
01/01/2005;30,77723;2,93;29,985
02/01/2005;30,75187;2,93;26,445
03/01/2005;30,73598;2,93;30,184
04/01/2005;30,71517;3,33;31,998
05/01/2005;30,86431;3,43;49,683
06/01/2005;31,07697;2,7;55,121
07/01/2005;31,18992;2,5;44,82
08/01/2005;31,32604;2,5;49,712
09/01/2005;31,50404;2,5;53,154
10/01/2005;31,65371;2,5;48,759
11/01/2005;31,8155;2,5;53,231
12/01/2005;32,55136;2,51;114,967
13/01/2005;32,91505;2,51;73,781
14/01/2005;33,11321;2,51;55,816
15/01/2005;33,26486;2,51;51,416
16/01/2005;33,15939;2,51;21,486
17/01/2005;33,84422;2,51;108,462
18/01/2005;34,62014;2,51;119,966
19/01/2005;35,06587;2,51;83,863
20/01/2005;35,63195;2,51;97,164
21/01/2005;36,37827;2,52;116,779
22/01/2005;37,28643;2,53;135,184
23/01/2005;37,959;2,56;108,758
24/01/2005;38,59744;2,54;104,158
25/01/2005;39,03991;2,54;83,154
26/01/2005;40,11434;2,54;153,465
27/01/2005;41,13066;2,54;148,825
28/01/2005;41,80423;2,54;109,705
29/01/2005;42,41864;2,54;104,859
30/01/2005;42,90744;2,54;87,52
31/01/2005;43,42584;2,54;90,173
01/02/2005;43,72929;2,53;69,647
02/02/2005;44,03679;2,53;69,24
03/02/2005;44,52124;2,53;88,546
04/02/2005;45,04083;2,53;93,637
05/02/2005;45,40014;2,53;73,595
06/02/2005;45,75091;2,53;71,264
07/02/2005;46,0703;2,53;65,102
08/02/2005;46,32605;2,53;60,971
09/02/2005;46,4416;2,52;44,709
10/02/2005;46,54584;2,52;45,7
11/02/2005;46,55116;2,52;34,973
12/02/2005;46,73802;2,52;55,73
13/02/2005;46,98301;2,52;60,956
14/02/2005;47,13347;2,52;49,896
15/02/2005;47,26658;2,52;48,595
16/02/2005;47,31504;2,52;39,024
17/02/2005;47,34728;2,52;38,136
18/02/2005;47,36137;2,52;35,771
19/02/2005;47,45436;2,52;46,167
20/02/2005;47,50398;2,52;38,74
21/02/2005;47,51317;2,52;34,932
22/02/2005;47,52553;2,52;37,485
23/02/2005;47,49612;3,29;33,627
24/02/2005;47,46645;4,21;33,515
25/02/2005;47,4117;4,22;30,129
26/02/2005;47,5793;4,22;55,063
27/02/2005;47,8068;4,22;61,042
28/02/2005;48,67693;4,23;132,389
01/03/2005;48,77298;4,24;47,754
02/03/2005;48,76252;4,25;35,411
03/03/2005;48,73729;4,24;32,237
04/03/2005;48,72386;4,24;33,476
05/03/2005;48,70862;5,23;34,997
06/03/2005;48,71406;3,52;35,679
07/03/2005;48,69343;3,21;30,026
08/03/2005;48,69071;3,21;36,11
09/03/2005;48,62109;3,21;28,332
10/03/2005;48,56464;3,21;29,64
11/03/2005;48,48084;4,57;28,626
12/03/2005;48,38774;4,76;27,801
13/03/2005;48,3837;4,76;35,857
14/03/2005;48,32242;4,76;30,367
15/03/2005;48,65514;4,76;74,789
16/03/2005;49,57295;4,79;139,43
17/03/2005;49,8973;3,55;69,582
18/03/2005;50,09026;3,23;56,187
19/03/2005;50,49656;3,23;81,965
20/03/2005;50,73507;3,24;62,354
21/03/2005;51,09564;3,25;75,341
22/03/2005;51,37895;3,29;68,332
23/03/2005;51,74666;3,03;77,506
24/03/2005;52,07476;3,02;73,17
25/03/2005;52,85696;2,8;124,149
26/03/2005;53,57684;2,77;112,754
27/03/2005;54,17552;2,77;98,959
28/03/2005;54,4672;2,79;64,523
29/03/2005;54,68912;2,74;60,805
30/03/2005;54,84728;2,72;53,01
31/03/2005;55,01022;2,71;52,681
01/04/2005;55,16172;2,71;52,15
02/04/2005;55,17021;2,7;36,541
03/04/2005;55,25063;2,7;44,604
04/04/2005;55,34556;2,69;44,45
05/04/2005;55,45465;2,7;46,528
06/04/2005;55,54349;2,7;42,485
07/04/2005;55,65093;2,7;46,961
08/04/2005;55,70217;2,7;41,309
09/04/2005;55,79031;2,71;45,351
10/04/2005;55,95045;2,72;52,211
11/04/2005;56,04431;2,72;44,383
12/04/2005;56,04534;2,72;35,971
13/04/2005;56,01176;2,72;31,913
14/04/2005;56,03134;2,72;36,508
15/04/2005;55,99693;2,72;30,9
16/04/2005;55,97706;2,72;33,42
17/04/2005;55,90693;2,72;26,355
18/04/2005;55,88148;2,72;29,867
19/04/2005;55,84602;2,72;31,243
20/04/2005;55,78919;2,72;28,813
21/04/2005;55,76879;3,63;33,537
22/04/2005;55,7695;4,22;33,415
23/04/2005;55,80938;4,23;39,832
24/04/2005;55,80294;4,23;33,237
25/04/2005;55,76226;4,23;28,283
26/04/2005;55,74105;4,23;33,233
27/04/2005;55,74097;4,23;32,995
28/04/2005;55,69345;4,23;29,641
29/04/2005;55,70348;4,23;34,82
30/04/2005;55,70537;4,23;36,082
01/05/2005;55,73547;4,23;36,949
02/05/2005;55,64685;4,24;22,863
03/05/2005;55,54845;4,24;24,864
04/05/2005;55,48073;4,24;27,7
05/05/2005;55,38746;4,24;25,106
06/05/2005;55,33845;4,24;29,885
07/05/2005;55,2904;4,76;31,235
08/05/2005;55,20515;5,2;26,794
09/05/2005;55,0967;5,19;22,835
10/05/2005;54,97062;5,22;22,682
11/05/2005;54,83362;5,22;21,404
12/05/2005;54,72021;5,22;24,502
13/05/2005;54,60881;5,22;24,86
14/05/2005;54,49872;5,22;25,353
15/05/2005;54,42836;5,22;29,242
16/05/2005;54,39457;5,22;31,058
17/05/2005;54,30891;5,22;27,629
18/05/2005;54,16903;5,22;20,975
19/05/2005;54,10065;5,22;29,568
20/05/2005;53,9426;5,22;19,47
21/05/2005;53,76179;5,22;17,368
22/05/2005;53,68656;5,22;27,202
23/05/2005;53,77639;5,22;44,173
24/05/2005;53,79739;5,23;38,831
25/05/2005;54,46222;4,25;107,171
26/05/2005;56,51744;2,92;265,797
27/05/2005;57,19017;2,74;109,715
28/05/2005;57,4212;2,74;60,239
29/05/2005;57,63912;2,74;57,718
30/05/2005;57,68796;2,74;37,296
31/05/2005;57,71466;2,74;37,748
01/06/2005;57,70125;2,74;31,984
02/06/2005;57,64951;2,74;28,518
03/06/2005;57,62815;2,74;31,934
04/06/2005;57,59615;2,74;31,266
05/06/2005;57,52618;2,74;25,45
06/06/2005;57,48632;2,74;28,467
07/06/2005;57,45342;3,47;31,553
08/06/2005;57,39651;4,01;27,2
09/06/2005;57,34694;4,01;29,806
10/06/2005;57,31158;4,01;31,581
11/06/2005;57,22915;4,01;26,648
12/06/2005;57,08522;4,01;18,889
13/06/2005;56,99492;4,01;23,642
14/06/2005;56,91788;4,01;27,208
15/06/2005;56,84371;4,01;27,558
16/06/2005;56,73077;4,06;23,196
17/06/2005;56,65618;4,02;27,913
18/06/2005;56,52821;4,48;22,35
19/06/2005;56,45331;5,03;27,197
20/06/2005;56,37343;5,03;25,79
21/06/2005;56,49338;5,03;48,432
22/06/2005;56,4769;5,03;33,053
23/06/2005;56,38886;5,03;25,774
24/06/2005;56,2941;5,03;25,408
25/06/2005;56,22069;5,03;28,859
26/06/2005;56,16629;5,04;29,26
27/06/2005;56,06738;5,04;23,689
28/06/2005;55,92096;5,04;19,95
29/06/2005;55,83797;5,04;26,395
30/06/2005;55,83424;5,04;35,724
01/07/2005;55,8207;5,05;35,3
02/07/2005;55,71409;5,05;25,369
03/07/2005;55,62323;5,05;26,043
04/07/2005;55,53643;5,05;25,061
05/07/2005;55,41644;5,05;22,836
06/07/2005;55,28039;5,05;19,393
07/07/2005;55,17595;5,05;23,268
08/07/2005;55,07926;5,04;23,245
09/07/2005;55,01074;5,04;28,233
10/07/2005;54,91777;5,04;24,618
11/07/2005;54,81976;5,04;22,4
12/07/2005;54,68222;5,04;21,171
13/07/2005;54,58375;5,03;25,587
14/07/2005;54,4784;5,03;23,347
15/07/2005;54,37076;5,03;24,044
16/07/2005;54,25497;5,02;23,519
17/07/2005;54,07337;5,01;15,757
18/07/2005;53,93883;5,01;19,096
19/07/2005;53,74443;5,0;14,584
20/07/2005;53,59392;5,0;18,254
21/07/2005;53,41786;4,99;15,724
22/07/2005;53,29494;4,98;21,886
23/07/2005;53,19641;4,98;26,151
24/07/2005;53,09439;4,97;23,527
25/07/2005;53,14695;4,96;39,349
26/07/2005;53,22174;5,02;44,453
27/07/2005;53,14213;5,03;27,059
28/07/2005;52,99687;5,03;18,852
29/07/2005;52,86213;5,03;21,19
30/07/2005;52,74854;5,03;24,624
31/07/2005;52,63078;5,03;22,327
01/08/2005;52,50326;5,02;20,792
02/08/2005;52,34386;5,02;19,442
03/08/2005;52,17593;5,01;18,619
04/08/2005;52,01617;5,01;18,335
05/08/2005;51,86547;5,0;20,079
06/08/2005;51,71769;5,0;20,655
07/08/2005;51,49521;4,99;11,89
08/08/2005;51,36542;4,99;20,504
09/08/2005;51,19911;4,98;18,491
10/08/2005;51,09122;4,98;24,732
11/08/2005;50,90606;4,98;15,255
12/08/2005;50,70703;4,97;15,125
13/08/2005;50,56058;4,97;20,911
14/08/2005;50,39815;4,97;18,507
15/08/2005;50,24841;4,97;18,586
16/08/2005;50,02533;5,81;13,617
17/08/2005;49,84044;5,98;17,678
18/08/2005;49,64462;5,98;16,97
19/08/2005;49,44774;5,98;16,448
20/08/2005;49,22981;7,01;15,544
21/08/2005;49,03281;7,0;16,881
22/08/2005;48,82901;7,0;15,287
23/08/2005;48,58131;6,99;11,557
24/08/2005;48,38464;7,4;18,554
25/08/2005;48,13223;8,89;13,153
26/08/2005;47,89145;9,47;14,01
27/08/2005;47,74067;8,39;24,142
28/08/2005;47,56201;8,02;19,606
29/08/2005;47,38044;8,02;19,436
30/08/2005;47,16285;8,01;17,142
31/08/2005;46,95228;8,01;17,644
01/09/2005;46,72916;8,0;15,901
02/09/2005;46,81086;8,0;49,1
03/09/2005;46,75846;8,01;34,762
04/09/2005;46,59079;8,02;21,517
05/09/2005;46,44153;8,02;22,073
06/09/2005;46,48934;8,02;45,747
07/09/2005;46,53725;8,04;44,094
08/09/2005;46,47924;8,04;30,664
09/09/2005;46,33969;8,05;23,249
10/09/2005;46,21012;8,05;26,498
11/09/2005;46,03936;8,04;21,055
12/09/2005;45,85363;8,04;18,869
13/09/2005;45,70315;8,03;21,769
14/09/2005;45,5627;8,03;24,241
15/09/2005;45,36361;8,02;16,086
16/09/2005;45,24286;8,02;26,881
17/09/2005;45,08524;8,01;22,657
18/09/2005;44,89429;8,01;16,701
19/09/2005;44,71886;8,01;17,479
20/09/2005;44,59633;8,01;26,451
21/09/2005;44,45088;8,01;24,115
22/09/2005;44,2768;8,01;18,025
23/09/2005;44,07202;8,01;17,057
24/09/2005;43,85142;8,0;15,887
25/09/2005;43,64413;8,0;15,548
26/09/2005;43,57645;7,99;28,805
27/09/2005;43,44282;7,99;23,31
28/09/2005;43,40799;7,99;33,623
29/09/2005;43,29919;7,99;27,124
30/09/2005;43,21513;7,99;30,528
01/10/2005;42,98464;7,98;14,509
02/10/2005;42,80679;7,96;19,813
03/10/2005;42,8553;7,96;40,956
04/10/2005;42,72667;7,95;27,208
05/10/2005;42,56975;8,02;23,531
06/10/2005;42,45194;8,02;27,284
07/10/2005;42,30633;8,01;24,172
08/10/2005;42,12861;8,0;20,7
09/10/2005;41,96096;8,0;21,033
10/10/2005;41,80089;7,97;20,579
11/10/2005;41,60091;7,96;17,949
12/10/2005;41,43827;7,95;21,668
13/10/2005;41,2507;7,94;18,187
14/10/2005;41,03112;7,92;16,415
15/10/2005;40,86984;8,01;22,821
16/10/2005;40,68979;8,02;19,418
17/10/2005;40,50641;8,02;17,176
18/10/2005;40,3407;8,03;21,946
19/10/2005;40,2276;8,03;25,956
20/10/2005;40,06318;8,03;19,745
21/10/2005;39,85076;8,03;15,496
22/10/2005;39,99678;8,04;57,398
23/10/2005;40,02233;8,0;42,143
24/10/2005;39,9516;8,01;29,27
25/10/2005;39,88056;8,01;32,918
26/10/2005;39,68687;8,01;19,181
27/10/2005;39,52709;8,0;21,623
28/10/2005;39,40242;7,99;26,007
29/10/2005;39,34652;8,0;34,366
30/10/2005;39,36626;8,0;41,024
31/10/2005;39,36064;7,99;37,278
01/11/2005;39,30816;7,51;32,9
02/11/2005;39,18703;6,05;24,111
03/11/2005;39,09729;6,05;26,641
04/11/2005;39,00376;6,05;28,033
05/11/2005;39,31555;6,06;73,78
06/11/2005;39,55651;6,08;65,591
07/11/2005;39,60461;6,09;42,157
08/11/2005;39,53776;6,09;30,564
09/11/2005;39,51051;6,1;32,494
10/11/2005;39,41152;6,1;26,047
11/11/2005;39,27512;6,08;20,68
12/11/2005;39,11068;6,08;19,038
13/11/2005;38,94899;6,07;18,17
14/11/2005;38,8202;6,07;19,407
15/11/2005;38,64781;6,06;17,92
16/11/2005;38,4965;6,05;20,057
17/11/2005;38,3664;6,05;24,004
18/11/2005;38,43422;6,04;46,191
19/11/2005;38,51528;6,04;48,123
20/11/2005;38,47492;6,04;34,309
21/11/2005;38,39375;6,03;25,667
22/11/2005;38,23548;6,02;20,638
23/11/2005;38,08572;6,0;21,367
24/11/2005;37,97444;5,99;25,237
25/11/2005;37,87711;5,97;27,807
26/11/2005;38,3334;6,04;88,587
27/11/2005;38,41944;6,05;46,514
28/11/2005;38,49431;6,04;45,197
29/11/2005;38,32633;6,01;20,339
30/11/2005;38,15677;5,98;20,117
01/12/2005;38,21253;5,84;44,592
02/12/2005;38,13074;5,56;28,849
03/12/2005;38,13237;3,99;34,569
04/12/2005;38,14065;3,49;33,525
05/12/2005;38,18486;3,49;38,95
06/12/2005;38,17031;3,49;35,042
07/12/2005;38,30027;3,49;49,833
08/12/2005;38,33446;3,51;38,143
09/12/2005;38,25834;3,52;26,184
10/12/2005;38,15115;3,52;24,32
11/12/2005;38,11363;3,52;31,398
12/12/2005;38,15069;3,52;35,442
13/12/2005;38,10553;5,01;30,295
14/12/2005;38,02201;5,5;27,686
15/12/2005;37,86854;5,5;19,312
16/12/2005;37,75462;5,5;24,279
17/12/2005;37,61174;5,5;22,318
18/12/2005;37,78913;5,5;57,027
19/12/2005;38,12343;3,63;68,533
20/12/2005;38,32074;3,0;57,865
21/12/2005;38,78293;3,0;87,934
22/12/2005;39,05665;3,0;65,899
23/12/2005;39,28281;3,0;60,61
24/12/2005;39,56932;3,0;69,004
25/12/2005;39,94281;3,0;77,337
26/12/2005;40,02802;3,0;39,699
27/12/2005;39,9822;3,01;30,791
28/12/2005;39,98032;3,01;34,603
29/12/2005;39,9713;3,01;34,057
30/12/2005;39,88483;3,01;24,297
31/12/2005;39,88035;3,0;32,985
01/01/2006;40,01569;3,0;46,528
02/01/2006;40,28369;3,0;58,797
03/01/2006;40,79885;3,0;89,605
04/01/2006;41,83968;2,72;148,546
05/01/2006;42,78287;2,52;138,022
06/01/2006;43,5041;2,52;114,929
07/01/2006;44,08179;2,53;99,261
08/01/2006;44,59048;2,54;91,37
09/01/2006;44,92416;2,54;70,252
10/01/2006;45,19336;2,54;64,851
11/01/2006;45,27857;2,54;43,248
12/01/2006;45,44573;2,53;53,153
13/01/2006;45,41419;2,88;31,798
14/01/2006;45,42573;3,03;36,952
15/01/2006;45,37973;3,03;29,19
16/01/2006;45,31693;3,03;25,776
17/01/2006;45,25279;3,03;28,959
18/01/2006;45,22178;3,03;32,587
19/01/2006;45,22909;3,03;37,127
20/01/2006;45,18081;3,03;30,583
21/01/2006;45,12168;3,03;28,852
22/01/2006;45,02931;3,03;25,016
23/01/2006;44,97226;3,03;28,46
24/01/2006;44,8576;3,03;23,989
25/01/2006;44,76642;3,03;25,039
26/01/2006;44,70832;3,03;28,954
27/01/2006;44,63269;3,44;28,209
28/01/2006;44,53342;3,53;24,405
29/01/2006;44,50908;3,53;32,064
30/01/2006;44,77462;3,53;62,568
31/01/2006;44,8524;3,22;44,071
01/02/2006;45,13614;3,03;67,821
02/02/2006;45,44688;3,04;71,103
03/02/2006;45,44862;3,04;36,6
04/02/2006;45,57414;3,04;50,783
05/02/2006;45,69141;3,03;48,837
06/02/2006;45,74256;3,03;40,018
07/02/2006;45,72381;3,03;34,949
08/02/2006;45,87046;3,03;52,508
09/02/2006;46,07911;3,03;59,674
10/02/2006;46,35132;3,03;66,861
11/02/2006;47,32164;3,04;145,058
12/02/2006;48,89567;2,68;209,133
13/02/2006;49,70868;1,56;123,94
14/02/2006;50,40179;1,52;112,513
15/02/2006;50,84268;1,51;84,402
16/02/2006;51,89469;1,51;153,087
17/02/2006;52,96572;2,51;156,991
18/02/2006;54,45888;2,51;205,974
19/02/2006;55,07915;2,53;104,767
20/02/2006;55,59453;2,53;92,874
21/02/2006;55,91316;2,52;72,728
22/02/2006;56,27269;2,5;77,982
23/02/2006;56,62873;2,52;75,655
24/02/2006;56,83128;2,51;57,732
25/02/2006;57,04104;2,51;58,324
26/02/2006;57,06004;2,5;35,359
27/02/2006;57,23439;2,5;52,033
28/02/2006;57,37353;2,5;49,198
01/03/2006;57,57628;2,49;55,93
02/03/2006;57,6746;2,49;46,347
03/03/2006;57,81587;2,51;52,519
04/03/2006;58,02947;2,76;60,797
05/03/2006;58,48505;2,82;87,304
06/03/2006;58,75324;2,82;64,932
07/03/2006;59,57916;2,82;128,919
08/03/2006;60,04062;2,83;88,17
09/03/2006;60,48353;2,84;86,469
10/03/2006;60,75144;2,84;67,049
11/03/2006;60,98908;2,84;62,534
12/03/2006;61,1108;2,84;49,229
13/03/2006;61,28863;2,84;54,393
14/03/2006;61,33539;2,84;41,595
15/03/2006;61,39748;2,81;43,048
16/03/2006;61,5598;2,81;54,501
17/03/2006;61,79951;2,81;62,643
18/03/2006;62,01626;2,81;61,448
