Código do Reservatório,Reservatório,Cota (m),Volume Útil (hm³),Volume Útil (%),Afluência (m³/s),Defluência (m³/s),Data da Medição
29002,CACHOEIRA,817.11,32.21,46.25,0.63,5.5,2025-09-11
29002,CACHOEIRA,817.17,32.63,46.85,0.21,5.5,2025-09-12
29002,CACHOEIRA,817.21,32.91,47.25,0.56,5.5,2025-09-13
29002,CACHOEIRA,817.23,33.05,47.45,0.1,5.5,2025-09-14
29002,CACHOEIRA,817.25,33.17,47.63,0.15,5.5,2025-09-15
29002,CACHOEIRA,817.24,33.12,47.55,0.16,5.5,2025-09-16
