Data;Chuva (mm);Volume Útil Armazenado (%);Volume Útil Armazenado (hm³);Volume Total Armazenado (hm³);Vazão Captada (m³/s);Vazão Produzida (m³/s);Vazão Jusante (m³/s);Vazão Natural (m³/s);Vazão Afluente (m³/s);Variação do Volume Útil (%);Chuva Acumulada no Mês (mm);Chuva Média Historica (mm);Vazão Jusante no mês (m³/s);Vazão Jusante Média Histórica (m³/s);Vazão Natural no Mês (m³/s);Vazão Natural Media Historica (m³/s);Vazão Produzida no Mês (m³/s);Vazão Retirada no Mês (m³/s)
01/01/2000;30,9;47,11254;365,50555;1072,05098;29,0;;10,16;70,885;70,885;0,32635;30,9;261,51618;10,16;22,55533;70,885;;;29,0
02/01/2000;29,1;47,77519;370,64646;1077,1919;28,8;;10,18;94,864;94,864;0,66265;60,0;261,51618;10,17;22,55533;82,875;;;28,9
03/01/2000;35,175;48,59438;377,00187;1083,5473;33,3;;7,29;108,208;108,208;0,81919;95,175;261,51618;9,21;22,55533;91,319;;;30,36667
04/01/2000;18,725;49,9968;387,88206;1094,42749;32,4;;6,34;162,936;162,936;1,40242;113,9;261,51618;8,4925;22,55533;109,223;;;30,875
05/01/2000;25,9;51,94578;403,00251;1109,54794;32,9;;6,33;211,604;211,604;1,94898;139,8;261,51618;8,06;22,55533;129,699;;;31,28
06/01/2000;7,825;52,21137;405,063;1111,60844;33,7;;5,4;59,722;59,722;0,26559;147,625;261,51618;7,61667;22,55533;118,037;;;31,68333
07/01/2000;21,45;55,66249;431,83726;1138,38269;33,8;;5,43;346,454;346,454;3,45112;169,075;261,51618;7,30429;22,55533;150,668;;;31,98571
08/01/2000;6,2;56,63253;439,3629;1145,90833;33,9;;6,29;124,904;124,904;0,97003;175,275;261,51618;7,1775;22,55533;147,447;;;32,225
09/01/2000;0,0;57,10364;443,01784;1149,56328;33,4;;6,48;79,678;79,678;0,47111;175,275;261,51618;7,1;22,55533;139,917;;;32,35556
10/01/2000;0,375;57,29694;444,51752;1151,06296;34,9;;6,47;53,797;53,797;0,1933;175,65;261,51618;7,037;22,55533;131,305;;;32,61
11/01/2000;0,0;57,45505;445,74418;1152,28962;34,4;;6,47;53,712;53,712;0,15811;175,65;261,51618;6,98545;22,55533;124,251;;;32,77273
12/01/2000;0,85;57,3889;445,23094;1151,77637;35,2;;6,46;33,624;33,624;-0,06616;176,5;261,51618;6,94167;22,55533;116,699;;;32,975
13/01/2000;7,275;57,46437;445,8165;1152,36193;34,4;;6,46;46,279;46,279;0,07548;183,775;261,51618;6,90462;22,55533;111,282;;;33,08462
14/01/2000;12,85;57,67839;447,47683;1154,02227;35,3;;6,48;58,759;58,759;0,21401;196,625;261,51618;6,87429;22,55533;107,53;;;33,24286
15/01/2000;0,7;57,77345;448,21431;1154,75975;33,5;;6,49;48,334;48,334;0,09506;197,325;261,51618;6,84867;22,55533;103,584;;;33,26
16/01/2000;1,45;57,77228;448,20527;1154,75071;31,1;;6,49;39,077;39,077;-0,00117;198,775;261,51618;6,82625;22,55533;99,552;;;33,125
17/01/2000;4,05;57,74694;448,00871;1154,55414;33,7;;6,5;32,896;32,896;-0,02534;202,825;261,51618;6,80706;22,55533;95,631;;;33,15882
18/01/2000;4,575;57,77785;448,24847;1154,79391;27,0;;6,5;42,36;42,36;0,03091;207,4;261,51618;6,79;22,55533;92,672;;;32,81667
19/01/2000;4,525;57,87044;448,96683;1155,51227;27,3;;6,51;33,771;33,771;0,09259;211,925;261,51618;6,77526;22,55533;89,572;;;32,52632
20/01/2000;4,9;57,78244;448,28411;1154,82955;32,8;;6,49;30,289;30,289;-0,088;216,825;261,51618;6,761;22,55533;86,608;;;32,54
21/01/2000;0,0;57,4855;445,98042;1152,52586;34,2;;6,49;12,391;12,391;-0,29694;216,825;261,51618;6,7481;22,55533;83,074;;;32,61905
22/01/2000;0,0;57,31387;444,64889;1151,19433;33,5;;6,5;24,172;24,172;-0,17163;216,825;261,51618;6,73682;22,55533;80,396;;;32,65909
23/01/2000;0,0;57,15522;443,41804;1149,96347;31,1;;6,5;24,186;24,186;-0,15865;216,825;261,51618;6,72652;22,55533;77,952;;;32,5913
24/01/2000;0,0;57,0396;442,52101;1149,06645;33,0;;6,5;26,643;26,643;-0,11562;216,825;261,51618;6,71708;22,55533;75,814;;;32,60833
25/01/2000;0,0;56,91423;441,54838;1148,09382;32,8;;6,49;28,016;28,016;-0,12537;216,825;261,51618;6,708;22,55533;73,902;;;32,616
26/01/2000;9,175;56,77802;440,49169;1147,03713;32,7;;6,49;27,012;27,012;-0,1362;226,0;261,51618;6,69962;22,55533;72,099;;;32,61923
27/01/2000;17,775;56,92705;441,64786;1148,19329;32,2;;6,5;51,572;51,572;0,14903;243,775;261,51618;6,69222;22,55533;71,339;;;32,6037
28/01/2000;0,0;57,09797;442,97388;1149,51932;34,5;;6,51;54,584;54,584;0,17092;243,775;261,51618;6,68571;22,55533;70,74;;;32,67143
29/01/2000;0,0;57,05084;442,60821;1149,15364;32,6;;6,51;35,798;35,798;-0,04713;243,775;261,51618;6,67966;22,55533;69,535;;;32,66897
30/01/2000;0,0;56,93372;441,69963;1148,24507;31,1;;6,51;28,283;28,283;-0,11711;243,775;261,51618;6,674;22,55533;68,16;;;32,61667
31/01/2000;0,0;56,86861;441,19446;1147,73989;34,2;;6,5;32,225;32,225;-0,06512;243,775;261,51618;6,66839;22,55533;67,001;;;32,66774
01/02/2000;27,45;56,93984;441,74711;1148,29255;33,8;;6,51;45,97;45,97;0,07124;27,45;221,04706;6,51;23,40981;45,97;;;33,8
02/02/2000;6,625;57,41272;445,41573;1151,96117;33,9;;6,65;81,486;81,486;0,47287;34,075;221,04706;6,58;23,40981;63,728;;;33,85
03/02/2000;0,0;57,39474;445,27627;1151,82171;33,5;;6,66;37,989;37,989;-0,01798;34,075;221,04706;6,60667;23,40981;55,148;;;33,73333
04/02/2000;0,0;57,57269;446,65683;1153,20227;34,7;;6,67;55,771;55,771;0,17795;34,075;221,04706;6,6225;23,40981;55,304;;;33,975
05/02/2000;23,275;57,77764;448,24685;1154,79229;31,8;;6,68;58,626;58,626;0,20495;57,35;221,04706;6,634;23,40981;55,968;;;33,54
06/02/2000;0,15;57,77933;448,25999;1154,80543;31,7;;6,67;37,413;37,413;0,00169;57,5;221,04706;6,64;23,40981;52,876;;;33,23333
07/02/2000;0,0;57,72517;447,83977;1154,38521;33,7;;6,67;32,588;32,588;-0,05416;57,5;221,04706;6,64429;23,40981;49,978;;;33,3
08/02/2000;0,25;57,65213;447,27314;1153,81858;32,7;;6,67;32,63;32,63;-0,07304;57,75;221,04706;6,6475;23,40981;47,809;;;33,225
09/02/2000;4,65;57,58643;446,76344;1153,30887;32,5;;6,66;32,558;32,558;-0,0657;62,4;221,04706;6,64889;23,40981;46,115;;;33,14444
10/02/2000;22,575;57,78687;448,31842;1154,86386;32,1;;6,66;56,561;56,561;0,20043;84,975;221,04706;6,65;23,40981;47,159;;;33,04
11/02/2000;28,425;58,42173;453,2438;1159,78923;32,9;;6,69;95,265;95,265;0,63487;113,4;221,04706;6,65364;23,40981;51,532;;;33,02727
12/02/2000;28,7;59,34631;460,41681;1166,96225;31,6;;5,72;121,173;121,173;0,92458;142,1;221,04706;6,57583;23,40981;57,336;;;32,90833
13/02/2000;17,525;60,47976;469,2103;1175,75574;29,5;;6,74;138,071;138,071;1,13345;159,625;221,04706;6,58846;23,40981;63,546;;;32,64615
14/02/2000;11,625;61,744;479,0184;1185,56384;33,9;;6,78;147,957;147,957;1,26423;171,25;221,04706;6,60214;23,40981;69,576;;;32,73571
15/02/2000;0,375;62,31058;483,414;1189,95944;34,7;;6,8;91,311;91,311;0,56658;171,625;221,04706;6,61533;23,40981;71,025;;;32,86667
16/02/2000;6,525;62,69911;486,42832;1192,97376;33,6;;6,81;75,54;75,54;0,38854;178,15;221,04706;6,6275;23,40981;71,307;;;32,9125
17/02/2000;17,25;62,90253;488,00649;1194,55193;31,3;;6,84;57,699;57,699;0,20342;195,4;221,04706;6,64;23,40981;70,506;;;32,81765
18/02/2000;17,425;63,8863;495,63865;1202,18409;33,1;;6,88;124,316;124,316;0,98376;212,825;221,04706;6,65333;23,40981;73,496;;;32,83333
19/02/2000;0,3;64,42531;499,82036;1206,36579;32,5;;6,88;87,106;87,106;0,53901;213,125;221,04706;6,66526;23,40981;74,212;;;32,81579
20/02/2000;0,0;64,46227;500,10712;1206,65255;31,3;;6,88;42,585;42,585;0,03696;213,125;221,04706;6,676;23,40981;72,631;;;32,74
21/02/2000;0,0;64,64749;501,5441;1208,08953;33,3;;6,88;54,578;54,578;0,18522;213,125;221,04706;6,68571;23,40981;71,771;;;32,76667
22/02/2000;0,0;64,72415;502,13882;1208,68425;34,3;;6,85;48,502;48,502;0,07666;213,125;221,04706;6,69318;23,40981;70,713;;;32,83636
23/02/2000;1,375;64,79252;502,66928;1209,21472;33,6;;6,87;46,505;46,505;0,06838;214,5;221,04706;6,70087;23,40981;69,661;;;32,86957
24/02/2000;4,85;64,81818;502,8683;1209,41373;33,2;;6,89;42,944;42,944;0,02565;219,35;221,04706;6,70875;23,40981;68,548;;;32,88333
25/02/2000;4,925;64,95421;503,92367;1210,46911;33,9;;6,89;51,491;51,491;0,13603;224,275;221,04706;6,716;23,40981;67,865;;;32,924
26/02/2000;5,7;64,98772;504,18362;1210,72906;35,3;;6,71;43,257;43,257;0,03351;229,975;221,04706;6,71577;23,40981;66,919;;;33,01538
27/02/2000;0,0;65,02348;504,4611;1211,00654;31,1;;6,69;42,383;42,383;0,03577;229,975;221,04706;6,71481;23,40981;66,01;;;32,94444
28/02/2000;2,8;65,07069;504,82733;1211,37276;33,9;;6,7;41,54;41,54;0,04721;232,775;221,04706;6,71429;23,40981;65,136;;;32,97857
29/02/2000;5,1;65,19551;505,79574;1212,34118;33,7;;6,71;51,368;51,368;0,12483;237,875;221,04706;6,71414;23,40981;64,661;;;33,00345
01/03/2000;10,625;65,27095;506,38101;1212,92645;33,86;;6,71;46,185;46,185;0,07544;10,625;201,28889;6,71;20,75532;46,185;;;33,86
02/03/2000;4,7;65,30554;506,64932;1213,19476;34,0;;6,71;43,492;43,492;0,03458;15,325;201,28889;6,71;20,75532;44,839;;;33,93
03/03/2000;0,125;65,43376;507,64408;1214,18951;34,15;;6,71;51,575;51,575;0,12822;15,45;201,28889;6,71;20,75532;47,084;;;34,00333
04/03/2000;2,55;65,49869;508,14778;1214,69322;32,64;;6,71;46,308;46,308;0,06493;18,0;201,28889;6,71;20,75532;46,89;;;33,6625
05/03/2000;0,0;65,5841;508,81044;1215,35588;30,79;;6,72;45,955;45,955;0,08541;18,0;201,28889;6,712;20,75532;46,703;;;33,088
06/03/2000;0,0;65,63285;509,18864;1215,73407;31,82;;6,73;41,618;41,618;0,04875;18,0;201,28889;6,715;20,75532;45,856;;;32,87667
07/03/2000;0,0;65,47743;507,98287;1214,5283;29,84;;6,73;24,379;24,379;-0,15542;18,0;201,28889;6,71714;20,75532;42,787;;;32,44286
08/03/2000;14,975;65,64778;509,30446;1215,84989;32,37;;6,72;50,422;50,422;0,17035;32,975;201,28889;6,7175;20,75532;43,742;;;32,43375
09/03/2000;0,2;65,83964;510,79296;1217,33839;32,67;;6,74;55,405;55,405;0,19186;33,175;201,28889;6,72;20,75532;45,038;;;32,46
10/03/2000;0,0;65,94119;511,58083;1218,12626;33,31;;6,75;48,596;48,596;0,10155;33,175;201,28889;6,723;20,75532;45,394;;;32,545
11/03/2000;0,525;65,96414;511,75887;1218,30431;32,67;;6,39;41,285;41,285;0,02295;33,7;201,28889;6,69273;20,75532;45,02;;;32,55636
12/03/2000;3,0;66,04253;512,36698;1218,91242;31,41;;6,33;45,63;45,63;0,07838;36,7;201,28889;6,6625;20,75532;45,071;;;32,46083
13/03/2000;0,0;66,24976;513,97471;1220,52014;33,57;;6,33;55,662;55,662;0,20723;36,7;201,28889;6,63692;20,75532;45,886;;;32,54615
14/03/2000;0,0;66,24382;513,92862;1220,47405;34,04;;6,33;39,396;39,396;-0,00594;36,7;201,28889;6,615;20,75532;45,422;;;32,65286
15/03/2000;5,8;66,16291;513,30094;1219,84637;33,37;;6,33;31,921;31,921;-0,08091;42,5;201,28889;6,596;20,75532;44,522;;;32,70067
16/03/2000;0,0;66,1332;513,07042;1219,61586;33,16;;6,33;36,37;36,37;-0,02971;42,5;201,28889;6,57938;20,75532;44,012;;;32,72938
17/03/2000;3,65;66,17234;513,3741;1219,91954;33,55;;6,34;42,41;42,41;0,03914;46,15;201,28889;6,56529;20,75532;43,918;;;32,77765
18/03/2000;3,8;66,17507;513,39523;1219,94067;33,47;;6,34;39,606;39,606;0,00272;49,95;201,28889;6,55278;20,75532;43,679;;;32,81611
19/03/2000;10,15;66,21869;513,7337;1220,27914;30,48;;6,34;41,783;41,783;0,04363;60,1;201,28889;6,54158;20,75532;43,579;;;32,69316
20/03/2000;0,575;66,23233;513,8395;1220,38494;32,76;;6,34;38,881;38,881;0,01364;60,675;201,28889;6,5315;20,75532;43,344;;;32,6965
21/03/2000;0,0;66,21921;513,73768;1220,28312;33,06;;6,43;39,079;39,079;-0,01312;60,675;201,28889;6,52667;20,75532;43,141;;;32,71381
22/03/2000;8,0;66,31673;514,49425;1221,03968;33,34;;6,45;48,681;48,681;0,09752;68,675;201,28889;6,52318;20,75532;43,393;;;32,74227
23/03/2000;5,4;66,50332;515,94191;1222,48735;33,25;;6,45;56,85;56,85;0,1866;74,075;201,28889;6,52;20,75532;43,978;;;32,76435
24/03/2000;16,775;66,57834;516,52389;1223,06933;33,86;;6,48;46,335;46,335;0,07502;90,85;201,28889;6,51833;20,75532;44,076;;;32,81
25/03/2000;6,725;66,51465;516,02977;1222,5752;33,96;;6,46;34,383;34,383;-0,06369;97,575;201,28889;6,516;20,75532;43,688;;;32,856
26/03/2000;0,0;66,45465;515,56431;1222,10975;31,03;;6,45;33,539;33,539;-0,06;97,575;201,28889;6,51346;20,75532;43,298;;;32,78577
27/03/2000;10,975;66,50473;515,9528;1222,49824;33,2;;6,46;41,664;41,664;0,05007;108,55;201,28889;6,51148;20,75532;43,237;;;32,80111
28/03/2000;3,65;66,50433;515,94969;1222,49513;33,51;;6,47;39,953;39,953;-0,0004;112,2;201,28889;6,51;20,75532;43,12;;;32,82643
29/03/2000;20,05;67,10153;520,58291;1227,12835;32,08;;6,47;92,634;92,634;0,59721;132,25;201,28889;6,50862;20,75532;44,827;;;32,80069
30/03/2000;0,55;67,0895;520,48951;1227,03495;32,59;;6,33;37,043;37,043;-0,01204;132,8;201,28889;6,50267;20,75532;44,568;;;32,79367
31/03/2000;3,925;67,87363;526,57292;1233,11836;33,47;;6,17;107,955;107,955;0,78413;136,725;201,28889;6,49194;20,75532;46,613;;;32,81548
01/04/2000;0,0;68,17277;528,8937;1235,43914;33,1;;6,17;67,677;67,677;0,29914;0,0;100,33611;6,17;14,63251;67,677;;;33,1
02/04/2000;0,45;68,44565;531,01077;1237,5562;30,8;;6,17;62,716;62,716;0,27288;0,45;100,33611;6,17;14,63251;65,197;;;31,95
03/04/2000;0,0;68,67633;532,80035;1239,34579;32,1;;6,16;56,517;56,517;0,23067;0,45;100,33611;6,16667;14,63251;62,303;;;32,0
04/04/2000;0,0;68,78788;533,66583;1240,21126;32,1;;6,16;47,953;47,953;0,11156;0,45;100,33611;6,165;14,63251;58,716;;;32,025
05/04/2000;0,0;68,70725;533,04029;1239,58572;33,1;;6,16;31,263;31,263;-0,08063;0,45;100,33611;6,164;14,63251;53,225;;;32,24
06/04/2000;0,0;68,62239;532,38194;1238,92738;33,7;;6,15;31,746;31,746;-0,08486;0,45;100,33611;6,16167;14,63251;49,645;;;32,48333
07/04/2000;0,0;68,4821;531,2935;1237,83894;33,7;;6,14;26,671;26,671;-0,1403;0,45;100,33611;6,15857;14,63251;46,363;;;32,65714
08/04/2000;0,0;68,36383;530,37593;1236,92137;33,4;;6,14;28,754;28,754;-0,11827;0,45;100,33611;6,15625;14,63251;44,162;;;32,75
09/04/2000;0,0;68,34003;530,19134;1236,73677;31,5;;6,13;36,738;36,738;-0,02379;0,45;100,33611;6,15333;14,63251;43,337;;;32,61111
10/04/2000;0,0;68,31823;530,02216;1236,5676;33,4;;6,13;35,372;35,372;-0,02181;0,45;100,33611;6,151;14,63251;42,541;;;32,69
11/04/2000;0,0;68,24967;529,49032;1236,03576;34,0;;6,13;33,546;33,546;-0,06855;0,45;100,33611;6,14909;14,63251;41,723;;;32,80909
12/04/2000;0,0;68,13067;528,56704;1235,11248;34,2;;6,11;29,002;29,002;-0,11901;0,45;100,33611;6,14583;14,63251;40,663;;;32,925
13/04/2000;0,0;68,07121;528,1058;1234,65124;34,3;;6,12;34,405;34,405;-0,05945;0,45;100,33611;6,14385;14,63251;40,182;;;33,03077
14/04/2000;0,0;67,9489;527,15691;1233,70235;33,7;;6,3;28,73;28,73;-0,12231;0,45;100,33611;6,155;14,63251;39,364;;;33,07857
15/04/2000;0,0;67,73917;525,52976;1232,0752;33,1;;6,32;20,7;20,7;-0,20973;0,45;100,33611;6,166;14,63251;38,119;;;33,08
16/04/2000;0,0;67,65808;524,90063;1231,44606;31,8;;6,31;31,912;31,912;-0,08109;0,45;100,33611;6,175;14,63251;37,731;;;33,0
17/04/2000;0,0;67,50373;523,70318;1230,24862;33,8;;6,31;23,466;23,466;-0,15435;0,45;100,33611;6,18294;14,63251;36,892;;;33,04706
18/04/2000;0,0;67,27852;521,95598;1228,50141;33,1;;6,31;20,444;20,444;-0,22521;0,45;100,33611;6,19;14,63251;35,978;;;33,05
19/04/2000;5,0;67,05748;520,24115;1226,78659;33,7;;6,31;20,111;20,111;-0,22104;5,45;100,33611;6,19632;14,63251;35,143;;;33,08421
20/04/2000;3,225;67,01158;519,88503;1226,43047;34,1;;6,31;36,078;36,078;-0,0459;8,675;100,33611;6,202;14,63251;35,19;;;33,135
21/04/2000;0,0;66,72256;517,64275;1224,18819;32,9;;6,3;14,146;14,146;-0,28902;8,675;100,33611;6,20667;14,63251;34,188;;;33,12381
22/04/2000;0,0;66,64086;517,00895;1223,55439;30,6;;6,3;30,102;30,102;-0,08169;8,675;100,33611;6,21091;14,63251;34,002;;;33,00909
23/04/2000;0,0;66,49676;515,89098;1222,43641;29,4;;6,3;23,91;23,91;-0,1441;8,675;100,33611;6,21478;14,63251;33,563;;;32,85217
24/04/2000;0,0;66,39316;515,08725;1221,63269;32,8;;6,3;25,911;25,911;-0,1036;8,675;100,33611;6,21833;14,63251;33,245;;;32,85
25/04/2000;0,0;66,19959;513,58552;1220,13095;34,3;;6,29;23,393;23,393;-0,19357;8,675;100,33611;6,2212;14,63251;32,851;;;32,908
26/04/2000;0,0;66,04178;512,36121;1218,90665;33,9;;6,29;26,521;26,521;-0,15781;8,675;100,33611;6,22385;14,63251;32,607;;;32,94615
27/04/2000;0,0;65,80756;510,54404;1217,08948;32,7;;6,29;18,464;18,464;-0,23423;8,675;100,33611;6,2263;14,63251;32,083;;;32,93704
28/04/2000;0,0;65,63613;509,21413;1215,75956;32,9;;6,28;23,625;23,625;-0,17142;8,675;100,33611;6,22821;14,63251;31,781;;;32,93571
29/04/2000;0,0;65,41453;507,49491;1214,04035;31,9;;6,28;19,756;19,756;-0,2216;8,675;100,33611;6,23;14,63251;31,367;;;32,9
30/04/2000;0,0;65,20704;505,8852;1212,43063;31,5;;6,27;19,768;19,768;-0,20749;8,675;100,33611;6,23133;14,63251;30,98;;;32,85333
01/05/2000;0,0;65,08609;504,94683;1211,49226;31,5;;6,27;26,449;26,449;-0,12095;0,0;100,04861;6,27;12,94708;26,449;;;31,5
02/05/2000;0,0;64,94649;503,86379;1210,40922;33,8;;6,27;25,698;25,698;-0,1396;0,0;100,04861;6,27;12,94708;26,074;;;32,65
03/05/2000;3,475;64,72831;502,17107;1208,71651;34,4;;6,25;20,987;20,987;-0,21819;3,475;100,04861;6,26333;12,94708;24,378;;;33,23333
04/05/2000;0,0;64,42166;499,79209;1206,33752;33,8;;6,25;12,704;12,704;-0,30664;3,475;100,04861;6,26;12,94708;21,46;;;33,375
05/05/2000;0,65;64,15275;497,70585;1204,25129;33,7;;8,53;18,179;18,179;-0,26891;4,125;100,04861;6,714;12,94708;20,803;;;33,44
06/05/2000;0,0;63,95118;496,14205;1202,68749;33,1;;9,29;24,485;24,485;-0,20157;4,125;100,04861;7,14333;12,94708;21,417;;;33,38333
07/05/2000;1,3;63,78354;494,84145;1201,38688;30,6;;9,3;26,272;26,272;-0,16764;5,425;100,04861;7,45143;12,94708;22,111;;;32,98571
08/05/2000;0,0;63,58403;493,29363;1199,83906;32,6;;9,3;21,453;21,453;-0,19951;5,425;100,04861;7,6825;12,94708;22,028;;;32,9375
09/05/2000;4,325;63,38646;491,76087;1198,30631;31,6;;9,3;23,46;23,46;-0,19757;9,75;100,04861;7,86222;12,94708;22,187;;;32,78889
10/05/2000;0,0;63,18656;490,20999;1196,75542;32,1;;9,3;23,35;23,35;-0,1999;9,75;100,04861;8,006;12,94708;22,304;;;32,72
11/05/2000;0,0;62,9392;488,29094;1194,83637;32,4;;9,29;19,053;19,053;-0,24736;9,75;100,04861;8,12273;12,94708;22,008;;;32,69091
12/05/2000;0,0;62,68296;486,30304;1192,84847;32,8;;9,3;18,34;18,34;-0,25623;9,75;100,04861;8,22083;12,94708;21,703;;;32,7
13/05/2000;0,0;62,39809;484,09291;1190,63835;31,9;;7,78;15,342;15,342;-0,28488;9,75;100,04861;8,18692;12,94708;21,213;;;32,63846
14/05/2000;0,0;62,24506;482,90573;1189,45117;30,3;;6,27;24,009;24,009;-0,15302;9,75;100,04861;8,05;12,94708;21,413;;;32,47143
15/05/2000;0,0;62,05786;481,45338;1187,99881;32,6;;6,03;19,429;19,429;-0,1872;9,75;100,04861;7,91533;12,94708;21,281;;;32,48
16/05/2000;0,0;61,86478;479,95543;1186,50087;33,7;;6,03;23,186;23,186;-0,19308;9,75;100,04861;7,7975;12,94708;21,4;;;32,55625
17/05/2000;0,0;61,6652;478,40711;1184,95255;32,9;;5,79;21,818;21,818;-0,19957;9,75;100,04861;7,67941;12,94708;21,424;;;32,57647
18/05/2000;0,0;61,46961;476,8897;1183,43514;32,9;;6,27;19,608;19,608;-0,19559;9,75;100,04861;7,60111;12,94708;21,323;;;32,59444
19/05/2000;0,3;61,20231;474,81589;1181,36132;32,0;;6,26;17,26;17,26;-0,26731;10,05;100,04861;7,53053;12,94708;21,11;;;32,56316
20/05/2000;0,0;61,01141;473,33489;1179,88032;30,7;;6,25;21,039;21,039;-0,1909;10,05;100,04861;7,4665;12,94708;21,106;;;32,47
21/05/2000;0,0;60,81731;471,82901;1178,37445;31,0;;6,25;19,225;19,225;-0,1941;10,05;100,04861;7,40857;12,94708;21,016;;;32,4
22/05/2000;0,0;60,64675;470,50579;1177,05123;32,2;;6,25;20,436;20,436;-0,17056;10,05;100,04861;7,35591;12,94708;20,99;;;32,39091
23/05/2000;0,0;60,42325;468,77189;1175,31733;32,4;;6,25;19,246;19,246;-0,22349;10,05;100,04861;7,30783;12,94708;20,914;;;32,3913
24/05/2000;0,0;60,22459;467,23066;1173,7761;32,4;;6,25;19,989;19,989;-0,19866;10,05;100,04861;7,26375;12,94708;20,876;;;32,39167
25/05/2000;0,0;60,0077;465,54798;1172,09342;32,8;;6,25;19,604;19,604;-0,21689;10,05;100,04861;7,2232;12,94708;20,825;;;32,408
26/05/2000;0,0;59,76734;463,68321;1170,22864;33,4;;6,25;17,645;17,645;-0,24036;10,05;100,04861;7,18577;12,94708;20,703;;;32,44615
27/05/2000;0,0;59,52277;461,7858;1168,33123;31,7;;6,25;17,354;17,354;-0,24457;10,05;100,04861;7,15111;12,94708;20,579;;;32,41852
28/05/2000;0,0;59,31399;460,16608;1166,71151;30,5;;6,25;18,156;18,156;-0,20878;10,05;100,04861;7,11893;12,94708;20,492;;;32,35
29/05/2000;0,0;59,10341;458,53232;1165,07776;32,3;;6,25;17,328;17,328;-0,21059;10,05;100,04861;7,08897;12,94708;20,383;;;32,34828
30/05/2000;0,0;58,85777;456,62662;1163,17205;32,6;;6,25;16,995;16,995;-0,24564;10,05;100,04861;7,061;12,94708;20,27;;;32,35667
31/05/2000;0,0;58,62001;454,78206;1161,32749;33,2;;6,25;17,212;17,212;-0,23776;10,05;100,04861;7,03484;12,94708;20,171;;;32,38387
01/06/2000;1,325;58,38161;452,93257;1159,47801;31,0;;6,25;16,744;16,744;-0,23839;1,325;64,87639;6,25;19,91192;16,744;;;31,0
02/06/2000;0,0;58,14028;451,06029;1157,60573;32,0;;6,26;14,858;14,858;-0,24133;1,325;64,87639;6,255;19,91192;15,801;;;31,5
03/06/2000;0,0;57,91576;449,31839;1155,86383;32,2;;6,26;17,652;17,652;-0,22453;1,325;64,87639;6,25667;19,91192;16,418;;;31,73333
04/06/2000;0,0;57,67909;447,48232;1154,02776;30,9;;6,26;16,788;16,788;-0,23666;1,325;64,87639;6,2575;19,91192;16,511;;;31,525
05/06/2000;0,0;57,431;445,55755;1152,10299;31,5;;7,19;15,343;15,343;-0,2481;1,325;64,87639;6,444;19,91192;16,277;;;31,52
06/06/2000;0,0;57,2439;444,10599;1150,65143;32,9;;6,25;21,223;21,223;-0,1871;1,325;64,87639;6,41167;19,91192;17,101;;;31,75
07/06/2000;0,0;56,94462;441,78417;1148,3296;32,4;;6,25;11,682;11,682;-0,29928;1,325;64,87639;6,38857;19,91192;16,327;;;31,84286
08/06/2000;0,0;56,75324;440,29945;1146,84488;32,8;;6,24;21,199;21,199;-0,19138;1,325;64,87639;6,37;19,91192;16,936;;;31,9625
09/06/2000;0,0;56,46836;438,08927;1144,63471;33,4;;6,24;13,312;13,312;-0,28488;1,325;64,87639;6,35556;19,91192;16,533;;;32,12222
10/06/2000;0,0;56,26312;436,49699;1143,04243;31,8;;6,24;20,238;20,238;-0,20524;1,325;64,87639;6,344;19,91192;16,904;;;32,09
11/06/2000;0,0;56,05402;434,87476;1141,42019;30,0;;6,24;19,535;19,535;-0,2091;1,325;64,87639;6,33455;19,91192;17,143;;;31,9
12/06/2000;0,0;55,87094;433,4544;1139,99984;33,6;;6,24;20,779;20,779;-0,18308;1,325;64,87639;6,32667;19,91192;17,446;;;32,04167
13/06/2000;0,0;55,62318;431,53228;1138,07771;32,9;;6,23;17,475;17,475;-0,24776;1,325;64,87639;6,31923;19,91192;17,448;;;32,10769
14/06/2000;0,0;55,37669;429,61993;1136,16537;32,3;;6,23;17,495;17,495;-0,2465;1,325;64,87639;6,31286;19,91192;17,452;;;32,12143
15/06/2000;0,0;55,11822;427,61471;1134,16014;31,9;;6,23;16,146;16,146;-0,25847;1,325;64,87639;6,30733;19,91192;17,365;;;32,10667
16/06/2000;0,0;54,85414;425,56597;1132,1114;32,3;;6,22;14,9;14,9;-0,26408;1,325;64,87639;6,30188;19,91192;17,211;;;32,11875
17/06/2000;0,0;54,62167;423,76242;1130,30786;31,5;;6,21;18,819;18,819;-0,23247;1,325;64,87639;6,29647;19,91192;17,305;;;32,08235
18/06/2000;0,0;54,40981;422,11877;1128,66421;29,5;;6,19;19,19;19,19;-0,21186;1,325;64,87639;6,29056;19,91192;17,41;;;31,93889
19/06/2000;0,0;54,22341;420,67261;1127,21805;31,8;;6,18;19,372;19,372;-0,18641;1,325;64,87639;6,28474;19,91192;17,513;;;31,93158
20/06/2000;0,0;54,00667;418,99117;1125,53661;32,3;;6,17;19,077;19,077;-0,21673;1,325;64,87639;6,279;19,91192;17,591;;;31,95
21/06/2000;7,45;53,82925;417,61467;1124,16011;30,6;;6,21;21,585;21,585;-0,17743;8,775;64,87639;6,27571;19,91192;17,782;;;31,88571
